Series	S	Years	Season	Episode	Name	Date	Holiday	link
Supernatural	15	2005–2020	3	8	A Very Supernatural Christmas	13.12.2007	Christmas	https://www.imdb.com/title/tt1032140/?ref_=ttep_ep8
Supernatural	15	2005–2020	4	7	It's the Great Pumpkin, Sam Winchester	30.10.2008	Halloween	https://www.imdb.com/title/tt1222614/?ref_=ttep_ep7
Supernatural	15	2005–2020	5	14	My Bloody Valentine	11.02.2010	St. Valentine's Day	https://www.imdb.com/title/tt1588681/?ref_=ttep_ep14
Supernatural	15	2005–2020	11	13	Love Hurts	10.02.2016	St. Valentine's Day	https://www.imdb.com/title/tt5352054/?ref_=ttep_ep13
Supernatural	15	2005–2020	15	14	Last Holiday	8.10.2022	Thanksgiving	https://www.imdb.com/title/tt10717914/?ref_=ttep_ep14
Bones	12	2005–2017	1	9	The Man in the Fallout Shelter	13.12.2005	Christmas	https://www.imdb.com/title/tt0529896/?ref_=ttep_ep9
Bones	12	2005–2017	3	5	Mummy in the Maze	30.10.2007	Halloween	https://www.imdb.com/title/tt1117421/?ref_=ttep_ep5
Bones	12	2005–2017	3	9	The Santa in the Slush	27.10.2007	Christmas	https://www.imdb.com/title/tt1143231/?ref_=ttep_ep9
Bones	12	2005–2017	5	10	The Goop on the Girl	10.12.2009	Christmas	https://www.imdb.com/title/tt1541172/?ref_=ttep_ep10
Bones	12	2005–2017	11	8	High Treason in the Holiday Season	19.11.2015	Thanksgiving	https://www.imdb.com/title/tt5168236/?ref_=ttep_ep8
Smallville	10	2001–2011	5	9	Lexmas	8-Dec-2005	Christmas	https://www.imdb.com/title/tt0702974/?ref_=ttep_ep9
Smallville	10	2001–2011	7	9	Gemini	13-Dec-2007	Christmas	https://www.imdb.com/title/tt1032127/?ref_=ttep_ep9
House M.D.	8	2004–2012	1	5	Damned if You Do	14-Dec-2004	Christmas	https://www.imdb.com/title/tt0606018/?ref_=ttep_ep5
House M.D.	8	2004–2012	3	10	Merry Little Christmas	12-Dec-2006	Christmas	https://www.imdb.com/title/tt0882414/?ref_=ttep_ep10
House M.D.	8	2004–2012	3	14	Insensitive	13-Feb-2007	St. Valentine's Day	https://www.imdb.com/title/tt0917153/?ref_=ttep_ep14
House M.D.	8	2004–2012	4	10	It's a Wonderful Lie	29-Jan-2008	Christmas	https://www.imdb.com/title/tt1172357/?ref_=ttep_ep10
House M.D.	8	2004–2012	5	11	Joy to the World	9-Dec-2008	Christmas	https://www.imdb.com/title/tt1273714/?ref_=ttep_ep11
House M.D.	8	2004–2012	6	9	Ignorance is Bliss	23-Nov-2009	Thanksgiving	https://www.imdb.com/title/tt1503414/?ref_=ttep_ep8
Scrubs	9	2001–2010	1	9	My Day Off	20-Nov-2001	Thanksgiving	https://www.imdb.com/title/tt0696569/?ref_=ttep_ep9
Scrubs	9	2001–2010	1	11	My Own Personal Jesus	11-Dec-2001	Christmas	https://www.imdb.com/title/tt0696619/?ref_=ttep_ep11
Scrubs	9	2001–2010	4	12	My Best Moment	7-Dec-2004	Christmas	https://www.imdb.com/title/tt0696550/?ref_=ttep_ep12
Friends	10	1994–2004	1	9	The One Where Underdog Gets Away	17-Nov-1994	Thanksgiving	https://www.imdb.com/title/tt0583492/?ref_=ttep_ep9
Friends	10	1994–2004	1	14	The One with the Candy Hearts	9-Feb-1995	St. Valentine's Day	https://www.imdb.com/title/tt0583587/?ref_=ttep_ep14
Friends	10	1994–2004	2	9	The One with Phoebe’s Dad	14-Dec-1995	Christmas	https://www.imdb.com/title/tt0583537/?ref_=ttep_ep9
Friends	10	1994–2004	2	15	The One Where Ross and Rachel… You Know	8-Feb-1996	St. Valentine's Day	https://www.imdb.com/title/tt0583488/?ref_=ttep_ep15
Friends	10	1994–2004	3	9	The One with the Football	21-Nov-1996	Thanksgiving	https://www.imdb.com/title/tt0583607/?ref_=ttep_ep9
Friends	10	1994–2004	3	10	The One Where Rachel Quits	12-Dec-1996	Christmas	https://www.imdb.com/title/tt0583474/?ref_=ttep_ep10
Friends	10	1994–2004	3	15	The One Where Ross and Rachel Take a Break	13-Feb-1997	St. Valentine's Day	https://www.imdb.com/title/tt0583487/?ref_=ttep_ep15
Friends	10	1994–2004	4	8	The One with Chandler in a Box	20-Nov-1997	Thanksgiving	https://www.imdb.com/title/tt0583515/?ref_=ttep_ep8
